,customer,campaign,result
0,1650,34,1
1,1168,85,0
2,2142,36,0
3,1536,12,0
4,1072,74,0
5,1423,19,1
6,1300,68,1
7,1918,98,0
8,1634,61,0
9,1010,11,0
10,1694,8,0
11,1605,85,1
12,363,11,0
13,1693,23,1
14,378,54,0
15,1256,49,1
16,2160,12,0
17,77,44,0
18,1080,55,1
19,1753,61,0
20,523,75,1
21,1655,79,1
22,1450,24,0
23,482,45,0
24,632,96,1
25,2117,72,0
26,2066,51,0
27,2092,67,0
28,810,51,1
29,1245,73,0
30,1485,38,0
31,1058,59,0
32,812,18,0
33,1876,59,0
34,100,6,0
35,1051,92,0
36,1625,60,0
37,397,7,0
38,1374,60,0
39,261,78,0
40,765,82,0
41,1498,65,0
42,278,20,1
43,537,83,0
44,382,30,0
45,670,18,0
46,1253,66,0
47,1620,58,0
48,1342,49,0
49,1516,16,0
50,604,67,1
51,721,87,0
52,1586,3,0
53,227,87,0
54,765,33,0
55,1987,48,0
56,356,72,1
57,96,79,0
58,1895,41,0
59,914,6,0
60,1428,11,1
61,1075,25,0
62,1292,8,0
63,325,79,0
64,550,97,0
65,1415,42,0
66,1733,53,0
67,1160,47,0
68,1870,27,1
69,2206,74,0
70,720,20,0
71,2173,76,0
72,938,48,0
73,4,82,0
74,1625,97,1
75,584,33,0
76,1641,68,1
77,472,32,0
78,79,20,0
79,42,36,0
80,525,61,0
81,1558,37,0
82,1362,54,0
83,1773,10,1
84,1308,11,0
85,194,72,1
86,566,88,1
87,1088,9,0
88,1084,40,0
89,614,70,0
90,1230,6,0
91,1224,40,1
92,1622,60,1
93,113,46,1
94,1468,98,0
95,1497,13,1
96,173,85,1
97,504,5,1
98,1242,55,0
99,1994,51,0
100,1633,54,0
101,209,69,0
102,1108,63,0
103,68,98,1
104,2151,94,0
105,1491,99,1
106,2186,50,0
107,1672,89,0
108,1609,59,0
109,979,52,1
110,1770,80,0
111,849,7,1
112,1452,85,0
113,1242,3,0
114,493,45,0
115,1248,44,0
116,1714,48,0
117,1247,7,1
118,139,84,0
119,1917,59,0
120,411,74,1
121,602,46,0
122,300,93,0
123,612,92,0
124,2169,59,0
125,1905,50,0
126,1729,54,0
127,458,70,0
128,901,61,0
129,798,25,0
130,696,67,0
131,4,46,0
132,1878,51,1
133,379,3,0
134,2038,0,0
135,1883,56,1
136,1382,87,0
137,1657,94,0
138,1693,34,0
139,2022,13,0
140,587,28,0
141,1197,49,1
142,851,13,0
143,2167,32,0
144,953,46,1
145,920,4,1
146,453,0,0
147,1115,57,0
148,1871,1,0
149,513,74,0
150,1424,95,0
151,1400,63,0
152,1758,36,0
153,1239,91,0
154,2203,60,0
155,1505,40,0
156,1643,76,1
157,925,43,1
158,239,22,0
159,120,68,1
160,309,68,1
161,1702,17,0
162,1046,11,0
163,308,23,0
164,262,20,0
165,657,68,0
166,1137,29,0
167,279,94,1
168,1115,93,1
169,649,18,0
170,2135,46,1
171,2216,5,0
172,6,71,0
173,2049,31,1
174,1856,20,0
175,1858,82,0
176,1495,15,0
177,1457,90,1
178,705,49,0
179,1081,69,0
180,1264,61,0
181,897,12,0
182,2036,23,0
183,666,40,1
184,139,42,0
185,1997,86,1
186,558,34,0
187,384,14,0
188,2186,78,0
189,364,56,0
190,1646,8,0
191,200,97,1
192,315,2,0
193,923,43,0
194,956,59,0
